AccountId,followers_count,following_count,is_spam,number_of_posts
2677608995,103,436,True,5
5291872335,271,107,False,5
5331985519,701,21,True,5
2413307927,122,467,True,5
3744505710,331,459,False,5
3813107541,373,100,False,5
2441132492,664,131,False,5
2736854544,309,770,False,5
3860113935,492,414,False,5
2129006005,386,192,False,5
1905386672,277,161,False,5
3282871064,314,22,True,5
3046899497,748,857,True,5
5249841496,475,59,True,5
3927045965,682,476,False,5
2823109451,976,783,False,5
5350033989,958,687,False,5
5256409702,563,876,True,5
3206188965,244,832,True,5
3107186635,131,485,True,5
5285359813,647,21,True,5
2358746483,167,274,False,5
5316056543,601,316,False,5
5101984732,242,777,False,5
2910207545,565,898,False,5
5313066618,92,367,False,5
3297235825,455,428,True,5
5262291092,776,943,True,5
2824110203,206,81,False,5
5306855348,562,872,False,5
5145637979,2,390,False,5
1795289253,106,772,False,5
1974846857,477,703,False,5
2152269932,730,556,False,5
2556983797,202,958,False,5
1504895400,270,863,False,5
5133102006,271,456,False,5
2947221197,727,252,True,5
2665870967,702,296,True,5
2585477223,720,749,False,5
3524337785,879,53,False,5
2540653755,922,217,False,5
3079095795,188,380,True,5
1868693014,41,157,True,5
2409804567,813,65,True,5
3978646791,839,521,False,5
5328405165,129,648,False,5
5359517113,63,139,True,5
2890650683,593,392,True,5
1963126905,419,289,True,5
5275207154,773,490,True,5
5125972493,41,28,True,5
1822125204,201,840,False,5
5311220029,930,33,False,5
3196383040,503,407,False,5
2966911504,728,805,True,5
2659287137,684,872,False,5
5285474429,987,547,True,5
2058340385,739,613,True,5
2205650523,462,643,True,5
2482775900,5,218,True,5
1862583081,767,398,True,5
1991051357,795,393,True,5
5173423974,15,858,False,5
5038769658,892,461,True,5
3819983930,575,864,True,5
2116521155,241,564,True,5
3234456422,96,900,False,5
1598575744,485,407,True,5
5251477658,749,655,True,5
3816679531,541,36,True,5
2386432864,160,839,True,5
3114454757,243,86,False,5
2846569732,578,682,True,5
1824065033,574,953,True,5
2834955711,646,796,False,5
2282163703,620,556,False,5
5277748742,798,958,True,5
2127515365,640,506,True,5
5087768562,348,473,True,5
3286366723,190,225,True,5
2309590430,377,283,False,5
3827793287,633,628,True,5
2605398593,745,259,True,5
2245778025,710,456,True,5
2953032833,649,318,True,5
5347846378,225,819,False,5
1286604713,684,664,True,5
5059050866,827,374,False,5
2243984297,608,472,True,5
1882137091,692,113,False,5
1787898635,497,442,False,5
2257968694,268,510,True,5
2814278674,386,387,True,5
3307023510,613,625,False,5
2272940172,81,699,True,5
2420129102,2,642,False,5
2053033461,566,855,True,5
2181615212,736,225,True,5
3641820591,403,638,False,5
3063953641,53,684,False,5
3200980491,672,710,False,5
2176445423,247,836,True,5
1947948017,203,184,True,5
3296725455,401,767,False,5
2774323733,280,837,False,5
5140488308,610,198,False,5
3929506267,907,511,False,5
5310317216,144,609,True,5
3985575968,124,187,False,5
5023142761,464,349,True,5
2998952417,660,764,True,5
5189026691,932,403,False,5
2998871423,963,511,True,5
5099024877,148,864,True,5
2997974385,820,489,True,5
5218801845,936,640,True,5
3105875397,338,872,True,5
1655906943,779,988,True,5
1986321441,473,946,True,5
3296777401,415,990,False,5
2998894213,611,263,False,5
3927196910,144,346,False,5
3241824631,572,881,False,5
5104943735,897,304,False,5
5211967217,652,453,True,5
3036123853,160,9,True,5
2998935733,99,659,False,5
5109737036,208,131,False,5
2998930047,152,54,False,5
5044714021,673,920,False,5
3975929912,587,625,False,5
5102580417,420,422,False,5
3899932667,852,254,True,5
3938015439,112,510,True,5
2627305117,99,153,True,5
2691075915,914,896,False,5
5090712668,338,706,False,5
1597644610,163,720,True,5
2854152644,681,996,True,5
1778681953,580,801,False,5
3738015072,277,816,False,5
3245587764,504,896,False,5
3484298455,135,195,True,5
1919049773,640,33,False,5
2494325122,460,955,True,5
2701396790,470,375,False,5
1596337650,750,670,False,5
1821079410,230,365,True,5
2745880775,438,776,True,5
5117799762,27,226,True,5
1884580820,798,609,False,5
2613735402,879,960,True,5
2288421764,453,829,False,5
5087580060,659,516,True,5
2563659751,192,49,False,5
2493595142,17,172,False,5
3793923083,158,477,False,5
3268926531,373,518,True,5
5013084547,892,745,True,5
2302865841,280,349,True,5
5076067696,302,181,True,5
3176097885,99,700,True,5
2200101900,116,191,True,5
3444675792,981,928,True,5
1770269973,161,256,True,5
5036694036,128,18,True,5
3936154720,735,566,False,5
1760747257,323,872,False,5
2303489833,792,626,False,5
2361491005,943,854,True,5
2428833987,962,639,True,5
5087335872,490,386,False,5
3229242683,785,104,True,5
5089335677,393,811,False,5
2175459941,176,39,True,5
2519760815,682,759,False,5
5044742057,867,818,True,5
3936139045,408,525,False,5
3934390383,506,903,True,5
3490882341,36,685,False,5
1787137411,321,776,False,5
2289941432,400,654,False,5
2619374017,883,471,True,5
5015012151,92,354,False,5
2617984592,800,727,True,5
5032935234,854,51,True,5
5097578696,698,575,False,5
3115060645,125,150,False,5
5216123959,570,342,True,5
2998865253,692,682,False,5
5041553700,783,54,True,5
2812412774,444,613,True,5
5302568707,264,53,False,5
3316024900,620,5,True,5
5302977891,196,774,True,5
2851617982,992,884,False,5
5127163455,47,867,True,5
1952397801,936,820,False,5
5105962859,269,370,False,5
2417172775,106,670,True,5
3246797070,657,120,True,5
1656885994,787,604,False,5
3253246055,951,346,True,5
5086881215,474,117,False,5
3983656949,791,127,True,5
1063193062,908,641,False,5
5109219826,634,513,True,5
1796612421,802,96,False,5
3494546103,118,560,True,5
3268621625,488,237,True,5
1564658453,897,272,True,5
3476440564,999,704,True,5
1911830701,581,790,True,5
1842952534,247,963,False,5
3284688545,154,656,True,5
2010995281,997,86,True,5
2788660365,285,974,False,5
3499763330,69,47,True,5
2428229070,94,750,False,5
2948837157,453,204,False,5
5089704290,218,474,False,5
2659655497,341,551,False,5
2281925130,289,254,False,5
