GroupID,AccountProfileID
29,5327940246
221,5070835945
319,5253222500
42,3978478347
111,1946260857
316,2369278982
485,2135365957
285,2917481885
411,5288497721
308,3045433544
251,5067843343
25,3794231150
202,5091205282
116,5047026697
311,3290085731
470,2433891553
460,2756229913
139,3043456582
373,3928008958
447,3317135475
178,3115633655
485,2998955031
22,2783296727
446,3509908537
260,3153376265
218,5314984588
26,2099176022
132,2998846537
185,1816149650
48,5292909246
93,3176097885
470,2206178062
176,3478676404
115,2752412827
124,5183258983
7,5292169887
282,3108644371
27,5207784570
229,5060165069
210,5082619309
273,5213178647
339,3863846328
335,5321745855
358,3095458555
399,1281697970
286,3865178939
19,2591496463
220,5328371055
475,3846059440
24,5297484168
296,2711584302
16,2927571741
202,2939603243
203,3769568383
418,1657305867
191,2135660105
396,3972850415
96,2616574183
205,3808641792
217,3105758085
3,5288758447
202,1525459210
226,2650614937
280,3815186272
415,5074592235
108,1947934994
101,1884580820
230,5230708315
388,3494823804
443,3506019310
206,3905166101
269,3854632362
280,2928934625
86,5128100810
204,5133072572
220,2294925452
16,1771871902
315,3579583785
484,1907375965
292,5258621784
306,3220605831
190,3235513024
108,5075819605
146,5330748277
426,1750102525
4,5327940246
38,3045965497
118,5287002832
57,5145819330
262,3973476742
328,5077444262
208,3085562597
490,5095688244
226,2844652117
425,5273984150
10,3508064890
306,3305483215
310,3487109923
462,3239888252
228,5102829050
408,3231687144
1,3268289111
400,3491682587
156,5186349291
159,5221908457
73,2106961167
435,2431826387
266,2372159932
103,3973176410
157,2150860295
112,2992480733
465,5336090057
81,3128285735
377,5095688244
467,1783493530
429,1838436697
126,5056604276
176,3936653177
325,1997833941
479,5183341880
373,5083036666
250,2441132492
431,3262775061
237,3466674484
138,2753118715
34,5072033134
471,2672349047
361,5248704060
276,3226454971
13,3700712884
103,2077304555
314,5260613821
91,1820931267
280,2262690143
46,3226436875
20,5347514708
150,3223638424
321,2796368541
373,2476196031
197,2517634522
478,5246220064
124,3975118831
314,5243997170
142,5293711155
384,2791132033
248,5338155249
17,5212961929
308,3231687144
170,2540277553
4,5205587822
175,3307396821
74,3159723572
466,1593829195
434,3958171384
192,3089646201
70,5026905215
314,5065049442
222,5081112592
393,5255601983
149,5121909728
302,2078828767
205,2953032833
138,2817667497
155,3929279639
302,3105510977
270,2882509885
483,5183258983
482,3273222014
35,2069445967
135,2189162367
315,3934166411
232,2053853607
109,3180472204
177,3962727604
455,3896594594
348,5313901055
155,3219960563
491,3722485812
328,3198171532
123,5374558237
224,5110021705
226,1408320155
255,2103565777
211,1911746955
89,5073651887
204,5376045863
159,3219591404
11,3215234072
141,3978635531
462,1841252397
445,5351846916
435,5289226310
4,2885109733
170,5066357584
277,3574300935
223,5107735738
356,2872405111
190,3292480873
66,5144370035
494,1937035695
306,2871422095
423,5217772559
258,2718205147
361,1761652111
499,5333511659
352,5220612202
115,3559092794
492,2456388355
261,2106521253
223,2476474040
227,5052984124
1,2891854953
247,2420513115
330,2017998315
284,2454094535
305,3686639760
278,3606984847
154,3820263701
178,3309926043
391,3300196252
357,3930497976
69,2682314143
8,2576925500
461,2243160331
314,5346606055
386,5224392885
28,1887078675
272,5312688755
491,3926177866
325,5088660513
278,1979527325
477,2953423345
310,5201596295
190,3498275800
377,3852359559
24,2121230800
385,3847082898
354,2407181094
278,3175957754
326,5140488308
405,1941038494
269,3115216163
253,5085355618
293,1747675650
425,5334918405
113,5212694418
419,5017737475
466,2431229383
243,3045006490
222,3816979372
137,3147622413
262,5242618311
212,5243886581
331,5033875961
140,2122231733
211,2689940372
399,3749456691
299,2018983917
307,3653518961
26,5043690900
78,3978480289
41,1822805671
466,5228350308
78,3539162605
64,2597016504
488,2833943527
265,2773866841
139,2607112951
243,3554706010
214,2291510412
129,5049315798
104,3934961243
473,5233091963
47,5341229917
171,5369922206
231,3627154762
22,2863375615
51,3151883514
439,2618829195
377,2882509885
349,2920459962
33,1911578260
226,3909109509
483,3115633655
400,5326908468
403,5310749502
384,2525829282
322,5333511659
206,5069584590
285,3464447642
103,3259010934
497,3104466017
60,1759183613
157,3886362865
359,1841427620
8,2732930064
62,2705360215
140,3044167892
257,5088274299
494,5248177309
454,1955717852
144,2437356095
54,2876159650
45,3926134470
202,2590434201
326,2953608382
108,2049852233
152,2307559664
376,5117320738
181,1878515871
140,2263976872
146,5318337221
397,3976011933
153,3876485890
375,5041128126
244,2097696651
395,3996516581
492,3278195955
252,1843810687
294,5308312097
319,2230487581
55,5108756845
164,5238482159
402,3072569041
272,5257426910
86,2029764127
38,3820791127
13,3271901761
359,2893400337
136,5149489263
263,3153146357
101,2277036784
185,2248521623
20,3978379214
301,5314984588
378,3779500927
244,3941729222
422,5290448680
161,2305577173
182,2620865545
106,2971864517
124,2797460932
240,2519760815
418,2661246261
425,3481982982
179,3137434647
157,2869891174
40,3118171027
147,2709775864
56,3597764847
77,3177255652
364,3105963463
219,5029735986
57,5322066783
493,2984324153
437,3297028007
215,2661246261
270,2354036727
401,5217505768
163,2817150824
311,2207492593
52,1830627563
91,3507722891
214,2742292902
325,5022546142
333,3987184849
52,2770437807
444,2366037443
68,2243984297
303,5173520328
358,5049132603
138,1816149650
129,3045027254
95,2748237263
182,3639906150
289,5088672469
459,5310387276
407,2329355285
256,2623128753
238,3245587764
130,3834778759
133,2116155907
32,3218626204
254,5079013281
214,5100164837
223,5020186118
112,5258055897
435,5253262952
228,2662350980
456,2184767217
456,5375166864
198,5034775506
430,2884046273
21,2376987525
246,5187878882
382,3454743170
265,5108838884
219,5106768671
307,5061893050
360,5134554042
58,1697149574
116,3871889018
440,1803215294
317,5229501538
222,3160573617
406,5072533334
93,1259401957
426,1671008065
25,1879909097
155,3559728894
184,5305955747
268,2391065751
287,2285809312
285,5269032884
67,2648051430
253,5236123583
49,1771996441
316,1583952672
324,5106959867
92,5285092126
348,5300360269
433,5191066447
112,5255706617
76,2610070957
345,2973266925
115,5148717477
255,5112709062
296,5190611846
392,3245480420
51,2483210887
384,2420513115
393,5310749502
273,5282580086
162,2616574183
218,2839627795
383,3822613824
380,2779462281
73,2511225413
242,5180554005
345,2826831007
334,5107911040
474,1570742620
496,3716505680
298,3487885185
362,3034423212
481,3086699533
156,3912166580
206,3018003660
122,2953423345
209,5218758600
374,2493675957
363,5374588738
341,5073738285
230,5228010065
420,2825191431
30,2785590811
323,3181015842
289,5101984732
435,3043655622
386,3348682630
359,3276402542
64,2827037043
95,3089646201
123,5235535571
337,2528310932
414,5251590013
68,5238336692
136,2090634502
339,2846507310
480,5291864332
439,2020090403
141,5339760487
175,3683785603
494,1905037092
343,5186964167
219,3040157083
405,2702594111
466,5293711155
474,2932019980
67,2944190123
252,3978454897
140,2855438411
301,2931957522
363,3983680409
167,1870222461
56,3272329515
386,2210296305
189,3848505335
168,2981035141
133,2664193881
433,2518294155
398,3159357687
437,2215083677
289,3073858141
398,3149811827
390,3491974273
87,3895857701
122,5287002832
418,3208712093
188,5228579062
469,2313052804
457,2119274543
265,5020186118
113,3977187886
446,2778795415
243,2998865253
495,5061593176
7,5097795709
483,2177221023
234,3221887703
116,3252722621
284,1939778034
362,2910887094
165,3137177921
487,3828796472
395,3037751965
347,1739640383
452,5074928182
232,3995228435
219,1504895400
476,3688137667
52,5349943822
169,5373882746
6,3249275284
431,3099318357
389,2712541334
114,3268289111
85,2901827333
219,3912145671
311,1810871920
146,3936417277
302,2900207901
159,5311645656
356,5327254903
246,5335435347
477,3272234184
317,1794325187
232,5055172551
443,2230487581
347,2122732095
268,2024346455
5,2922394363
144,1834638192
237,2371282501
458,3173601702
370,2417939210
384,2062767035
320,5269577753
333,2781017597
190,3105760291
240,1847712634
68,1975703930
6,2354036727
409,3639916607
423,1924725181
138,1880590387
225,3170907467
352,5297907311
477,3722574373
226,2512202204
19,3237268890
443,3044791330
363,2998982425
366,3878233052
148,3888366215
284,2919685120
464,3313588884
419,2912445661
341,5257068566
435,2695891484
476,5180380505
83,5107312314
382,5256714413
177,5328134793
101,2741503473
41,1785504447
255,1790379901
232,5087019783
191,1761652111
99,5066805908
478,2823208003
311,2583269981
484,3322609392
318,3043489774
58,5253262952
195,3157428597
431,3072569041
399,3253246761
144,2152662375
5,5073496872
267,2209682112
199,3975904414
35,5062340431
20,5310317216
375,2030517697
328,2581678257
428,3863846328
186,1778539110
199,5092012864
234,3010722565
463,1818046422
413,3299112545
116,2513203001
453,1840996984
5,1681308802
250,2674972287
222,3167182862
102,3252792642
452,3320183657
427,2462824032
380,3881441052
70,3478878342
467,3798443041
174,1771871902
251,5180380505
412,5364318105
153,1867940543
199,5078503047
309,3841895337
154,3153843063
77,2493006911
32,5330748277
289,3545328254
24,5205207124
277,2949710711
306,5111763109
471,5105725462
85,3457660634
447,1183363565
5,1770207643
10,3655472221
215,5110585772
366,1971794373
421,3197479432
418,2883107654
203,5108607446
66,5069667249
387,2887626217
269,2711225137
7,3045965497
325,3762260485
172,3102514655
84,2329355285
225,2192897294
458,2711905740
470,3225845477
296,5097795709
305,2863375615
64,3848643189
126,3579583785
137,2844646725
482,2277036784
368,1365603035
131,5279641669
99,3269946862
171,5020186118
276,3031389011
433,3915478108
476,5238900529
245,2218334774
315,3550492783
361,2068002135
71,5087162989
295,3907736810
111,3145800987
193,1657034960
11,5126310899
233,1891714435
405,2697848337
122,3314750121
123,2390169767
231,3045179614
227,5333909662
276,2732114025
5,1596337650
365,3305325053
67,1771996441
220,2739816360
61,2911303002
292,3281960255
248,2371282501
419,2694942843
53,3132886565
209,5244125032
145,3908538129
287,5330807513
139,3024253613
71,2725925573
62,1567045003
142,2997965191
21,2696277425
143,5364930344
197,5320636488
152,2890500973
262,3900113923
5,5269057423
223,5228942779
285,2486636783
300,2304632057
439,3239888252
357,5304392902
449,3496300812
250,3911906969
460,3973476499
168,3985341370
2,1911578260
437,5352547152
80,5304963939
128,3370526194
321,5291045730
372,3930497976
167,3133447330
89,3493328294
484,3488430544
38,3880167658
5,2313052804
96,3756187323
499,2702611784
196,3891127411
312,5242647076
234,3799324911
252,2998890447
167,3043917274
262,1760747257
219,2254719887
117,5210294544
450,5362712114
20,5371328909
10,5181033427
173,5114088995
309,3921944849
236,5264811939
478,2669004212
231,2360466061
16,2382168797
192,2880522145
136,2966911504
365,5033833045
490,2193376024
414,5245379166
467,3928611393
499,3168296137
15,2827037043
276,1791080557
358,5233988511
13,2260133941
364,2480717830
437,3908748637
75,2868952580
235,5348024491
455,5062943566
282,5107312314
70,3863812328
40,3478643051
127,3163092010
374,5256409702
484,5053954777
31,5133072572
15,3978636885
375,5079705651
467,3627154762
225,1286604713
162,2374729161
35,3152950245
173,2204869315
87,2660727055
74,2235748844
64,5210931793
494,3789743023
232,3028817137
209,3044791330
371,2928641481
277,5038857587
80,3080431343
206,5134772114
370,5127475340
182,2937260511
51,2775005623
354,1576229144
437,2811275112
376,3975908218
280,5341808427
355,2730801157
14,2117184411
221,2864034684
424,2290725484
305,3920801652
3,5211409586
330,5268815824
286,2214735967
259,3252792642
76,3860140453
402,1953623430
489,3043583080
305,5093588540
149,2656606490
365,2322856052
264,3211665524
162,3985209856
207,3170907467
320,5107845278
92,5242787882
466,3199319511
333,5143380762
47,1917101263
198,5014327478
476,2450297277
162,5310585284
340,5066412033
448,1898808945
44,3160573617
11,3499950992
147,5320260825
367,1932696761
477,3290726041
71,3044970034
243,2364101133
464,3493320632
57,3304193115
95,3014182175
425,3829917378
119,1103591892
500,3304450697
179,3295780624
58,5342770935
381,5306167700
80,2931204411
74,2958304325
351,3145206087
7,3030301495
385,1352583111
425,1342984750
82,3738800360
272,2208102693
181,2851588942
286,3992018406
210,3722523255
47,5296350273
227,3267074131
498,5291864332
160,5268863561
316,2511225413
134,3721768184
413,1996531004
83,3995695545
300,2951108997
159,1953977603
497,3037931717
401,2458294393
63,2846569732
342,3506021821
351,2690615694
79,3099318357
170,3951014924
21,5321493675
227,5302117090
43,5139137577
147,2090955723
33,3183183101
427,5278218815
280,1955756715
325,2152466202
47,2374284342
63,1875326175
492,3430044470
266,1783742145
28,2808338945
477,5015277204
186,3115060645
47,2181587830
79,2920524554
360,2719633740
153,3906692327
151,3904496514
51,2097696651
413,2846795263
1,5095384532
197,2879897381
338,1843928597
247,5106437557
101,5373350329
374,1320530591
249,2887181617
476,1564012190
458,2155979935
232,5135642220
